UserID;ScenarioID;controlMode;requestID;elapsedTimeSinceAccess;distanceTravelledSinceLastLog;distanceToEndOfInstructedPath;lengthOfCurrentInstructedPath;lengthOfCurrentInstructedInputPath;distanceToEnd;vehiclePosition;vehicleSpeed;constructionSiteEntered;endReached;closestLane;currentLaneDeviation;timeOfCollisionAvoidanceTraffic;timeOfCollisionAvoidanceObstacle;timeOfCollisionAvoidancePedestrian;amountOfAdditionInput;amountOfAdditionMarkers;amountOfSnapToMiddleInput;amountOfSnapToMiddleMarkers;amountOfReadjustmentInput;timeSinceLastInput;currentlyNeglectedTime;blindTimeSum;isMainRequest;isSecondaryRequest;totalRequestAmount;sideOfConstructionSite;
AS21;-3;Waypoint;1;6,8;2,288942;107,3474;101,487;101,487;505,062;(-25.09, -0.44, 78.95);80,16238;False;False;1;0,2182197;0,00;0,00;0,00;0;0;0;0;0;6,8;0,0;0,0;True;False;-1;Left;
AS21;-3;Waypoint;1;6,9;2,67168;104,6757;98,62981;98,62981;502,3904;(-25.78, -0.44, 81.18);80,12145;False;False;1;0,2204302;0,00;0,00;0,00;0;0;0;0;0;6,9;0,0;0,0;True;False;-1;Left;
AS21;-3;Waypoint;1;7,0;2,6717;102,004;96,34404;96,34404;499,719;(-26.47, -0.44, 83.42);80,11391;False;False;1;0,2235518;0,00;0,00;0,00;0;0;0;0;0;7,0;0,0;0,0;True;False;-1;Left;
AS21;-3;Waypoint;1;7,1;2,671413;99,33265;94,05834;94,05834;497,0478;(-27.16, -0.44, 85.65);80,10989;False;False;1;0,2255791;0,00;0,00;0,00;0;0;0;0;0;7,1;0,0;0,0;True;False;-1;Left;
AS21;-3;Waypoint;1;7,2;2,289537;97,04314;91,20122;91,20122;494,7585;(-27.75, -0.44, 87.56);80,10992;False;False;1;0,2263887;0,00;0,00;0,00;0;0;0;0;0;7,2;0,0;0,0;True;False;-1;Left;
AS21;-3;Waypoint;1;7,3;2,671546;94,37162;88,91558;88,91558;492,0871;(-28.45, -0.44, 89.80);80,11405;False;False;1;0,2259285;0,00;0,00;0,00;0;0;0;0;0;7,3;0,0;0,0;True;False;-1;Left;
AS21;-3;Waypoint;1;7,4;2,671413;91,70023;86,62978;86,62978;489,4158;(-29.14, -0.44, 92.03);80,10977;False;False;1;0,2255125;0,00;0,00;0,00;0;0;0;0;0;7,4;0,0;0,0;True;False;-1;Left;
AS21;-3;Waypoint;1;7,5;2,276542;37,26647;31,3854;0;487,1394;(-29.72, -0.44, 93.93);79,39175;False;False;1;0,2275374;0,00;0,00;0,00;1;1;0;0;0;0,0;0,0;0,0;True;False;-1;Left;
AS21;-3;Waypoint;1;7,6;2,446952;34,82243;29,32774;0;484,6925;(-30.34, -0.44, 95.98);72,23556;False;False;1;0,2138055;0,00;0,00;0,00;1;1;0;0;0;0,1;0,0;0,0;True;False;-1;Left;
AS21;-3;Waypoint;1;7,7;2,218044;32,60591;27,49871;0;482,4746;(-30.88, -0.44, 97.85);66,55664;False;False;1;0,1703561;0,00;0,00;0,00;1;1;0;0;0;0,2;0,0;0,0;True;False;-1;Left;
AS21;-3;Waypoint;1;7,8;1,737998;30,86839;24,98379;0;480,7371;(-31.27, -0.44, 99.32);59,5169;False;False;1;0,109844;0,00;0,00;0,00;1;1;0;0;0;0,3;0,0;0,0;True;False;-1;Left;
AS21;-3;Waypoint;1;7,9;1,839625;29,02882;23,61202;0;478,899;(-31.67, -0.44, 100.88);54,35999;False;False;1;0,02690941;0,00;0,00;0,00;1;1;0;0;0;0,4;0,0;0,0;True;False;-1;Left;
AS21;-3;Waypoint;1;8,0;1,646963;27,38195;22,46887;0;477,2551;(-31.99, -0.44, 102.28);49,41209;False;False;1;0,1079779;0,00;0,00;0,00;1;1;0;0;0;0,5;0,0;0,0;True;False;-1;Left;
AS21;-3;Waypoint;1;8,1;1,262618;26,11962;21,09709;0;475,9954;(-32.23, -0.44, 103.36);43,01641;False;False;1;0,2073415;0,00;0,00;0,00;1;1;0;0;0;0,6;0,0;0,0;True;False;-1;Left;
AS21;-3;Waypoint;1;8,2;1,302294;24,81762;20,14309;0;474,6961;(-32.48, -0.44, 104.47);38,30846;False;False;1;0,3096668;0,00;0,00;0,00;1;1;0;0;0;0,7;0,0;0,0;True;False;-1;Left;
AS21;-3;Waypoint;1;8,3;1,125455;23,69238;19,45738;0;473,5731;(-32.70, -0.44, 105.43);33,76525;False;False;1;0,3953148;0,00;0,00;0,00;1;1;0;0;0;0,8;0,0;0,0;True;False;-1;Left;
AS21;-3;Waypoint;1;8,4;0,8281674;22,86435;18,54309;0;472,7467;(-32.86, -0.44, 106.14);27,90203;False;False;1;0,4562443;0,00;0,00;0,00;1;1;0;0;0;0,9;0,0;0,0;True;False;-1;Left;
AS21;-3;Waypoint;1;8,5;0,8105673;22,05389;18,08595;0;471,9376;(-33.02, -0.43, 106.83);23,62299;False;False;1;0,5139979;0,00;0,00;0,00;1;1;0;0;0;1,0;0,0;0,0;True;False;-1;Left;
AS21;-3;Waypoint;1;8,6;0,7252182;41,11557;37,23444;19,85451;471,2136;(-33.16, -0.44, 107.45);21,60705;False;False;1;0,5640723;0,00;0,00;0,00;2;2;0;0;0;0,1;0,0;0,0;True;False;-1;Left;
